Year,Season,Koppen climate classification,Climate,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Thermal preference
2011.0,Spring,14.0,18.0,26.0,1.0,2.0,1.0,0.0,13.189256388091055,0.0,3.0,1.0,1.0,0.0,0.0,-0.5,11.0,23.17,0.35,1.2,1.194218,1.257274,1.264003,1.3192139999999999,23.5,74.3,24.569257999999998,76.22371899999999,24.220964000000002,23.450124,74.207647,24.0,75.2,24.6,76.2,24.621170000000003,76.316978,24.79673,76.631297,24.375785999999998,75.874689,22.970135,73.34141899999999,55.1,0.0,11.470175,0.1,19.69,13.2,55.8,1
2010.0,Autumn,7.0,7.0,2.0,2.0,3.0,3.0,0.0,32.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0862311565319105,20.962094284773425,25.769629000000002,0.58,1.1,1.194218,1.257274,1.264003,1.3192139999999999,24.0,75.2,24.569257999999998,76.22371899999999,24.220964000000002,23.450124,74.207647,24.504233,76.105627,24.602735,76.283592,24.621170000000003,76.316978,24.79673,76.631297,24.375785999999998,75.874689,22.970135,73.34141899999999,64.2,0.0,11.470175,0.1,19.69,23.0,73.4,2
2012.0,Autumn,3.0,16.0,9.0,2.0,3.0,1.0,0.0,13.189256388091055,1.0,-1.0,1.0,1.0,2.0,0.0,-0.4,8.0,24.15,0.68,1.0,1.194218,1.257274,1.264003,1.3192139999999999,23.5,74.3,24.569257999999998,76.22371899999999,24.220964000000002,23.450124,74.207647,24.504233,76.105627,24.602735,76.283592,24.621170000000003,76.316978,23.9,75.0,24.375785999999998,75.874689,22.970135,73.34141899999999,51.0,0.0,11.470175,0.05,9.84,29.7,85.5,2
1995.0,Summer,9.0,5.0,26.0,2.0,1.0,1.0,1.0,13.189256388091055,0.0,0.0,1.0,1.0,0.0,0.0,0.9,21.0,27.96,0.6,1.3,1.194218,1.257274,1.264003,1.3192139999999999,27.4,81.2,24.569257999999998,76.22371899999999,24.220964000000002,23.450124,74.207647,24.504233,76.105627,24.602735,76.283592,24.621170000000003,76.316978,26.3,79.3,24.375785999999998,75.874689,27.3,81.2,34.8,0.0,11.470175,0.04,7.87,4.0,39.0,2
1997.0,Winter,9.0,5.0,25.0,2.0,1.0,1.0,0.0,13.189256388091055,0.0,0.0,1.0,1.0,0.0,5.0,-0.5,11.0,23.68,1.3,1.0,1.0,1.257274,1.0,1.3192139999999999,18.9,66.0,24.569257999999998,76.22371899999999,18.9,23.450124,74.207647,19.0,66.2,24.602735,76.283592,24.621170000000003,76.316978,24.79673,76.631297,19.1,66.4,22.970135,73.34141899999999,60.0,0.0,11.470175,0.04,8.02,13.0,55.4,1
2010.0,Summer,7.0,7.0,0.0,2.0,3.0,1.0,1.0,55.0,2.0,0.0,1.0,1.0,1.0,0.0,0.3,7.0,26.14,0.43,1.3,1.194218,1.257274,1.264003,1.3192139999999999,25.2,77.4,24.569257999999998,76.22371899999999,25.2,23.450124,74.207647,25.1,77.3,24.602735,76.283592,24.621170000000003,76.316978,24.79673,76.631297,25.1,77.2,22.970135,73.34141899999999,68.3,0.0,11.470175,0.06,11.81,22.0,72.0,2
2009.0,Winter,7.0,7.0,0.0,2.0,3.0,1.0,1.0,45.0,2.0,0.0,1.0,1.0,1.0,0.0,-1.0,26.0,21.94,0.43,1.1,1.194218,1.257274,1.264003,1.3192139999999999,23.1,73.6,24.569257999999998,76.22371899999999,23.1,23.450124,74.207647,23.1,73.6,24.602735,76.283592,24.621170000000003,76.316978,24.79673,76.631297,23.1,73.6,22.970135,73.34141899999999,39.3,0.0,11.470175,0.03,5.91,13.0,55.0,2
2011.0,Spring,14.0,18.0,26.0,1.0,2.0,1.0,0.0,13.189256388091055,0.0,1.0,1.0,1.0,0.0,0.0,-0.5,11.0,23.13,0.4,1.2,1.194218,1.257274,1.264003,1.3192139999999999,23.3,73.9,24.569257999999998,76.22371899999999,24.220964000000002,23.450124,74.207647,23.7,74.7,24.1,75.4,24.621170000000003,76.316978,24.79673,76.631297,24.375785999999998,75.874689,22.970135,73.34141899999999,48.9,0.0,11.470175,0.08,16.4,13.2,55.8,1
1995.0,Winter,9.0,5.0,26.0,2.0,1.0,1.0,1.0,13.189256388091055,0.0,-2.0,0.0,1.0,0.0,0.0,-0.3,7.0,24.1,0.75,1.3,1.194218,1.257274,1.264003,1.3192139999999999,21.8,71.2,24.569257999999998,76.22371899999999,24.220964000000002,23.450124,74.207647,24.504233,76.105627,24.602735,76.283592,24.621170000000003,76.316978,21.5,70.7,24.375785999999998,75.874689,21.1,70.0,41.9,0.0,11.470175,0.04,7.87,4.0,39.0,1
2010.0,Winter,7.0,7.0,2.0,2.0,3.0,2.0,0.0,49.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0862311565319105,20.962094284773425,25.769629000000002,0.61,1.0,1.194218,1.257274,1.264003,1.3192139999999999,23.2,73.8,24.569257999999998,76.22371899999999,24.220964000000002,23.450124,74.207647,24.504233,76.105627,24.602735,76.283592,24.621170000000003,76.316978,24.79673,76.631297,24.375785999999998,75.874689,22.970135,73.34141899999999,59.1,0.0,11.470175,0.2,39.37,19.0,66.2,2
2012.0,Spring,14.0,18.0,26.0,1.0,2.0,1.0,0.0,13.189256388091055,0.0,3.0,1.0,1.0,0.0,0.0,-0.8,17.0,22.29,0.75,1.2,1.194218,1.257274,1.264003,1.3192139999999999,19.8,67.6,24.569257999999998,76.22371899999999,24.220964000000002,23.450124,74.207647,19.9,67.8,20.1,68.2,24.621170000000003,76.316978,24.79673,76.631297,24.375785999999998,75.874689,22.970135,73.34141899999999,56.0,0.0,11.470175,0.1,20.2,13.2,55.8,1
1994.0,Autumn,9.0,6.0,8.0,2.0,2.0,1.0,0.0,13.189256388091055,2.0,0.0,1.0,1.0,0.0,0.0,1.0862311565319105,20.962094284773425,25.769629000000002,0.39,1.206626,1.194218,1.257274,1.264003,1.3192139999999999,30.2,86.3,24.569257999999998,76.22371899999999,30.2,23.450124,74.207647,30.2,86.3,30.2,86.3,30.2,86.3,24.79673,76.631297,30.2,86.3,22.970135,73.34141899999999,47.548293,0.0,11.470175,0.3,59.06,17.446745999999997,63.383538,3
